category;description;alpha_carotene;beta_carotene;beta_cryptoxanthin;carbohydrate;cholesterol;choline;fiber;lutein_and_zeaxanthin;lycopene;niacin;protein;retinol;riboflavin;selenium;sugar_total;thiamin;water;fat.monosaturated_fat;fat.polysaturated_fat;fat.saturated_fat;fat.total_lipid;major_minerals.calcium;major_minerals.copper;major_minerals.iron;major_minerals.magnesium;major_minerals.phosphorus;major_minerals.potassium;major_minerals.sodium;major_minerals.zinc;vitamins.vitamin_a_-_rae;vitamins.vitamin_b12;vitamins.vitamin_b6;vitamins.vitamin_c;vitamins.vitamin_e;vitamins.vitamin_k;calories
French toast;French toast, plain;0.0;10.0;4.0;32.24;160.0;108.1;1.2;231.0;0.0;2.427;10.42;95.0;0.322;24.7;10.14;0.224;44.54;3.816;3.301;3.32;11.15;146.0;0.093;2.42;20.0;153.0;138.0;323.0;1.04;96.0;0.37;0.154;0.0;1.15;5.0;270.99
French toast;French toast, plain, reduced fat;0.0;1.0;4.0;33.91;164.0;113.3;1.2;243.0;0.0;2.553;10.95;78.0;0.338;26.0;10.67;0.235;47.1;2.043;1.833;1.968;6.37;153.0;0.098;2.54;21.0;161.0;144.0;319.0;1.09;78.0;0.39;0.127;0.0;0.58;0.3;236.77
French toast;French toast, whole grain;0.0;11.0;4.0;30.35;160.0;111.4;2.7;240.0;0.0;2.488;11.41;95.0;0.309;27.0;10.07;0.18;45.17;3.784;3.149;3.27;11.35;122.0;0.126;2.32;35.0;180.0;174.0;315.0;1.28;96.0;0.37;0.188;0.1;1.21;7.6;269.19
French toast;French toast, whole grain, reduced fat;0.0;1.0;4.0;31.92;164.0;116.8;2.8;253.0;0.0;2.617;11.99;78.0;0.324;28.3;10.6;0.189;47.75;2.009;1.673;1.915;6.57;127.0;0.133;2.43;37.0;189.0;182.0;312.0;1.34;78.0;0.39;0.163;0.1;0.65;3.1;234.77
French toast;French toast, gluten free;0.0;10.0;4.0;30.53;160.0;107.1;2.2;210.0;0.0;1.433;7.86;95.0;0.454;13.3;9.24;0.171;48.19;4.463;2.623;3.398;11.98;110.0;0.068;2.06;13.0;122.0;117.0;308.0;0.84;96.0;0.37;0.144;0.0;1.34;5.0;261.38
French toast sticks;French toast sticks, NFS;0.0;1.0;0.0;40.62;18.0;24.1;1.3;51.0;0.0;2.934;7.53;23.0;0.263;12.9;12.87;0.314;40.79;3.266;3.571;1.678;9.12;105.0;0.081;2.3;20.0;98.0;129.0;536.0;0.68;23.0;0.18;0.089;0.0;0.99;9.5;274.68
French toast sticks;French toast sticks, plain, from frozen;0.0;1.0;0.0;40.62;18.0;24.1;1.3;51.0;0.0;2.934;7.53;23.0;0.263;12.9;12.87;0.314;40.79;3.266;3.571;1.678;9.12;105.0;0.081;2.3;20.0;98.0;129.0;536.0;0.68;23.0;0.18;0.089;0.0;0.99;9.5;274.68
French toast sticks;French toast sticks, plain, from fast food / restaurant;0.0;4.0;0.0;48.48;0.0;16.4;1.6;5.0;0.0;3.029;7.06;0.0;0.206;14.4;11.64;0.334;21.85;11.179;3.019;4.693;20.87;62.0;0.1;2.26;22.0;102.0;131.0;471.0;0.6;0.0;0.0;0.062;0.0;1.03;17.1;409.99
French toast sticks;French toast sticks, from school, NFS;0.0;1.0;2.0;22.61;69.0;71.2;2.9;134.0;0.0;2.217;9.18;44.0;0.2;18.8;3.5;0.214;62.94;1.021;1.146;1.072;3.71;122.0;0.125;1.58;43.0;166.0;188.0;257.0;1.21;44.0;0.32;0.152;0.0;0.46;3.9;160.55
French toast sticks;French toast sticks, plain;0.0;3.0;0.0;41.21;0.0;13.9;1.4;4.0;0.0;2.575;6.0;0.0;0.175;12.2;9.89;0.284;33.57;9.502;2.566;3.989;17.74;53.0;0.085;1.92;19.0;87.0;111.0;400.0;0.51;0.0;0.0;0.053;0.0;0.88;14.5;348.5
